Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire
CID_70725,Industrial,70725,C6H4FI,222.00,3.4,0,1,0.0,C1=CC(=CC(=C1)I)F,PubChem,,,,Structure_PubChem,222.0,2.4303,0,0,0.0,8,1,0,,,,,222.0
CID_70731,Industrial,70731,C8H9I,232.06,3.3,0,0,0.0,CC1=CC(=C(C=C1)C)I,PubChem,,,,Structure_PubChem,232.064,2.908,0,0,0.0,9,1,0,,,,,232.064
CID_70787,Industrial,70787,C11H14O,162.23,3.6,1,1,20.2,CC(=CCC1=CC=CC=C1O)C,PubChem,,,,Structure_PubChem,162.232,2.9009,1,1,20.23,12,1,2,,,,,162.232
CID_70834,Industrial,70834,C13H18O3,222.28,3.9,1,3,46.5,CCCCCCOC1=CC=C(C=C1)C(=O)O,PubChem,,,,Structure_PubChem,222.284,3.3439,1,2,46.53,16,1,7,,,,,222.284
CID_70995,Industrial,70995,C12H10Te,281.8,,0,0,0.0,C1=CC=C(C=C1)[Te]C2=CC=CC=C2,PubChem,,,,Structure_PubChem,281.812,1.3416,0,0,0.0,13,2,2,,,,,281.812
CID_71568,Industrial,71568,CH4O,36.066,-0.5,1,1,20.2,[2H]C([2H])([2H])O[2H],PubChem,,,,Structure_PubChem,36.0664,-0.3915,1,1,20.23,2,0,0,,,,,36.0664
CID_71601,Industrial,71601,C6H6,84.15,2.1,0,0,0.0,[2H]C1=C(C(=C(C(=C1[2H])[2H])[2H])[2H])[2H],PubChem,,,,Structure_PubChem,84.1506,1.6866,0,0,0.0,6,1,0,,,,,84.1506
CID_72279,Industrial,72279,C15H10O3,238.24,3.6,1,3,46.5,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,PubChem,,,,Structure_PubChem,238.242,3.1656,1,3,50.44,18,3,1,,,,,238.242
CID_72858,Industrial,72858,C6H4I2O,345.90,2.9,1,1,20.2,C1=CC(=C(C=C1I)I)O,PubChem,,,,Structure_PubChem,345.905,2.6014,1,1,20.23,9,1,0,,,,,345.905
CID_72903,Industrial,72903,C6H7O2P,142.09,0.5,2,2,40.5,C1=CC=C(C=C1)P(O)O,PubChem,,,,Structure_PubChem,142.094,0.6084,2,2,40.46,9,1,1,,,,,142.094
CID_72904,Industrial,72904,C6H9N2OP,156.12,0,2,3,69.1,C1=CC=C(C=C1)P(=O)(N)N,PubChem,,,,Structure_PubChem,156.125,0.4224,2,1,69.11,10,1,1,,,,,156.125
CID_73720,Industrial,73720,C9H14OSi,166.29,,0,1,9.2,C[Si](C)(C)OC1=CC=CC=C1,PubChem,,,,Structure_PubChem,166.296,2.9003,0,1,9.23,11,1,2,,,,,166.296
CID_73870,Industrial,73870,C12H10ClI,316.56,,0,1,0.0,C1=CC=C(C=C1)[I+]C2=CC=CC=C2.[Cl-],PubChem,,,,Structure_PubChem,316.569,-3.181,0,0,0.0,14,2,2,,,,,316.569
CID_73871,Industrial,73871,C12H10BrI,361.02,,0,1,0.0,C1=CC=C(C=C1)[I+]C2=CC=CC=C2.[Br-],PubChem,,,,Structure_PubChem,361.02,-3.181,0,0,0.0,14,2,2,,,,,361.02
